Attrition,Department,JobRole,OverTime,MonthlyIncome,YearsAtCompany,JobSatisfaction,JobLevel,BusinessTravel,Gender,RevenueLoss
Yes,Research & Development,Research Scientist,No,4382,2,3,1,Travel_Rarely,Male,368517.2571428571
No,Human Resources,Human Resources,No,2143,5,2,1,Travel_Rarely,Male,180221.92653061225
No,Research & Development,Manufacturing Director,No,6162,14,3,2,Travel_Rarely,Female,518211.62448979594
No,Research & Development,Laboratory Technician,No,5094,1,3,2,Travel_Frequently,Male,428395.00408163265
No,Research & Development,Manufacturing Director,Yes,6877,0,4,2,Travel_Rarely,Female,578341.6653061225
No,Research & Development,Research Scientist,No,2274,1,3,1,Travel_Rarely,Female,191238.75918367348
No,Research & Development,Manufacturing Director,No,4434,9,2,2,Travel_Rarely,Male,372890.35102040815
No,Research & Development,Healthcare Representative,No,6288,4,1,2,Travel_Frequently,Male,528807.9673469388
No,Research & Development,Research Scientist,No,2553,5,4,1,Travel_Frequently,Female,214702.08979591838
Yes,Sales,Sales Executive,No,7654,9,4,3,Travel_Rarely,Female,643685.7795918367
Yes,Sales,Sales Executive,No,5160,9,4,2,Travel_Rarely,Male,433945.4693877551
No,Research & Development,Research Director,No,17159,4,1,4,Travel_Rarely,Male,1443036.881632653
No,Research & Development,Research Director,Yes,12808,9,4,3,Travel_Rarely,Male,1077126.6612244898
No,Research & Development,Manufacturing Director,No,10221,8,3,3,Travel_Rarely,Male,859565.2408163266
No,Sales,Sales Executive,Yes,4779,8,2,2,Travel_Rarely,Female,401904.1469387755
No,Human Resources,Human Resources,No,3737,3,4,1,Travel_Rarely,Male,314274.0734693878
Yes,Research & Development,Research Scientist,Yes,2366,8,3,1,Travel_Frequently,Female,198975.77142857143
No,Research & Development,Research Scientist,No,1706,0,4,1,Non-Travel,Male,143471.11836734693
No,Sales,Manager,No,16307,20,3,4,Travel_Rarely,Female,1371385.4204081632
No,Research & Development,Healthcare Representative,No,5933,5,2,2,Travel_Rarely,Male,498953.1918367347
No,Research & Development,Research Scientist,No,3424,4,1,1,Travel_Rarely,Male,287951.412244898
No,Sales,Sales Executive,No,4037,9,1,2,Travel_Rarely,Male,339503.4612244898
No,Research & Development,Research Scientist,No,2559,6,1,1,Travel_Rarely,Female,215206.6775510204
No,Sales,Sales Executive,Yes,6201,18,4,2,Travel_Rarely,Male,521491.4448979592
No,Sales,Sales Executive,No,4403,5,4,2,Travel_Rarely,Male,370283.3142857143
No,Research & Development,Research Scientist,No,3761,5,4,1,Travel_Frequently,Male,316292.4244897959
No,Sales,Sales Executive,Yes,10934,5,4,3,Travel_Rarely,Female,919527.0857142857
No,Sales,Sales Executive,Yes,10761,5,1,3,Travel_Rarely,Male,904978.1387755102
No,Research & Development,Research Scientist,No,5175,5,3,2,Travel_Rarely,Female,435206.93877551024
No,Research & Development,Manufacturing Director,No,13826,9,4,4,Travel_Frequently,Female,1162738.3836734693
No,Sales,Sales Executive,No,6334,1,3,2,Travel_Rarely,Male,532676.4734693877
No,Human Resources,Human Resources,No,4936,5,4,1,Travel_Rarely,Male,415107.52653061226
No,Research & Development,Manufacturing Director,No,4775,2,4,2,Travel_Rarely,Male,401567.7551020408
No,Research & Development,Laboratory Technician,Yes,2818,3,4,1,Travel_Rarely,Male,236988.04897959184
No,Research & Development,Research Scientist,Yes,2515,2,4,1,Travel_Frequently,Male,211506.3673469388
No,Human Resources,Human Resources,No,2342,5,1,1,Travel_Rarely,Male,196957.42040816328
No,Sales,Sales Executive,Yes,4194,5,1,2,Travel_Rarely,Male,352706.84081632656
No,Research & Development,Manufacturing Director,Yes,10685,17,3,3,Travel_Rarely,Female,898586.693877551
Yes,Research & Development,Research Scientist,Yes,2022,10,2,1,Travel_Frequently,Female,170046.07346938775
No,Research & Development,Laboratory Technician,No,2314,3,4,1,Non-Travel,Male,194602.6775510204
No,Sales,Sales Executive,No,4256,5,1,2,Travel_Rarely,Male,357920.9142857143
No,Research & Development,Research Scientist,No,3580,4,1,1,Travel_Rarely,Female,301070.693877551
No,Research & Development,Laboratory Technician,No,3162,5,4,1,Non-Travel,Male,265917.7469387755
No,Sales,Sales Executive,No,6524,10,2,2,Travel_Frequently,Male,548655.0857142857
No,Sales,Sales Representative,No,2899,2,2,1,Travel_Rarely,Male,243799.9836734694
No,Research & Development,Laboratory Technician,Yes,5231,5,4,2,Travel_Rarely,Female,439916.4244897959
No,Research & Development,Research Scientist,Yes,2356,6,4,1,Travel_Rarely,Male,198134.7918367347
Yes,Sales,Sales Representative,Yes,2800,3,3,1,Travel_Rarely,Female,235474.2857142857
No,Sales,Sales Executive,No,11836,2,4,4,Travel_Rarely,Male,995383.4448979592
No,Research & Development,Manufacturing Director,No,10903,13,2,3,Travel_Rarely,Male,916920.0489795918
No,Sales,Sales Representative,No,2973,5,4,1,Travel_Frequently,Female,250023.23265306122
No,Research & Development,Research Director,No,14275,12,4,4,Travel_Rarely,Female,1200498.3673469387
No,Research & Development,Healthcare Representative,No,5562,5,4,2,Travel_Frequently,Female,467752.84897959186
No,Sales,Sales Executive,Yes,4537,7,4,2,Travel_Rarely,Female,381552.44081632653
No,Sales,Sales Executive,Yes,7642,10,2,3,Non-Travel,Male,642676.6040816327
No,Research & Development,Manager,No,17924,31,1,4,Non-Travel,Male,1507371.8204081634
No,Human Resources,Human Resources,No,5204,5,4,2,Travel_Rarely,Female,437645.77959183673
No,Human Resources,Human Resources,Yes,2277,4,2,1,Travel_Rarely,Male,191491.0530612245
Yes,Research & Development,Laboratory Technician,Yes,2795,1,4,1,Travel_Rarely,Male,235053.79591836734
No,Research & Development,Laboratory Technician,No,2532,4,4,1,Travel_Rarely,Female,212936.03265306124
No,Research & Development,Research Scientist,Yes,2559,8,1,1,Travel_Rarely,Male,215206.6775510204
No,Sales,Sales Executive,No,4908,4,4,2,Travel_Rarely,Male,412752.7836734694
Yes,Research & Development,Laboratory Technician,Yes,2380,1,4,1,Travel_Frequently,Male,200153.14285714287
No,Research & Development,Manufacturing Director,No,4765,1,2,2,Travel_Rarely,Female,400726.7755102041
Yes,Sales,Sales Representative,No,2044,2,3,1,Travel_Rarely,Female,171896.22857142857
Yes,Research & Development,Research Scientist,No,2693,1,4,1,Travel_Rarely,Female,226475.80408163267
No,Research & Development,Healthcare Representative,Yes,6586,16,4,2,Travel_Rarely,Male,553869.1591836734
No,Sales,Sales Representative,Yes,3294,3,4,1,Travel_Rarely,Female,277018.6775510204
Yes,Research & Development,Manufacturing Director,Yes,4171,3,3,2,Travel_Rarely,Female,350772.587755102
Yes,Research & Development,Laboratory Technician,Yes,2778,7,4,1,Travel_Rarely,Female,233624.1306122449
No,Research & Development,Research Scientist,No,2377,2,3,1,Travel_Rarely,Female,199900.84897959183
Yes,Research & Development,Laboratory Technician,Yes,2404,2,1,1,Travel_Rarely,Male,202171.49387755102
No,Research & Development,Research Scientist,No,2318,1,3,1,Travel_Rarely,Female,194939.0693877551
No,Research & Development,Laboratory Technician,No,2008,1,2,1,Travel_Rarely,Male,168868.70204081634
No,Sales,Sales Executive,No,6244,5,3,2,Travel_Rarely,Female,525107.6571428572
No,Research & Development,Research Scientist,Yes,2799,3,1,1,Travel_Rarely,Male,235390.18775510203
No,Research & Development,Healthcare Representative,Yes,10552,6,2,3,Travel_Rarely,Female,887401.6653061225
No,Sales,Sales Representative,No,2329,7,3,1,Travel_Rarely,Male,195864.14693877552
No,Research & Development,Healthcare Representative,Yes,4014,10,4,2,Travel_Rarely,Female,337569.2081632653
No,Research & Development,Laboratory Technician,No,7403,26,2,3,Travel_Rarely,Female,622577.1918367347
No,Research & Development,Research Scientist,No,2259,0,3,1,Travel_Rarely,Male,189977.28979591836
No,Sales,Sales Executive,No,6932,9,3,2,Non-Travel,Female,582967.0530612245
No,Research & Development,Research Scientist,No,4678,6,4,1,Travel_Rarely,Male,393410.2530612245
No,Research & Development,Research Director,No,13582,15,1,3,Travel_Rarely,Female,1142218.4816326532
No,Research & Development,Laboratory Technician,No,2332,3,2,1,Non-Travel,Female,196116.44081632653
Yes,Sales,Sales Representative,Yes,2413,1,2,1,Travel_Rarely,Male,202928.3755102041
No,Sales,Sales Executive,No,9705,1,2,3,Travel_Rarely,Male,816170.693877551
No,Sales,Sales Executive,No,4294,7,1,2,Travel_Frequently,Male,361116.6367346939
No,Research & Development,Laboratory Technician,Yes,4721,18,1,1,Travel_Rarely,Male,397026.46530612244
No,Research & Development,Laboratory Technician,No,2519,11,3,1,Travel_Rarely,Male,211842.75918367348
Yes,Sales,Sales Representative,Yes,2121,1,2,1,Travel_Rarely,Male,178371.77142857143
Yes,Research & Development,Laboratory Technician,No,2973,1,1,1,Travel_Rarely,Male,250023.23265306122
No,Research & Development,Healthcare Representative,Yes,5855,9,4,2,Travel_Rarely,Female,492393.55102040817
No,Research & Development,Research Scientist,Yes,3617,1,2,1,Travel_Frequently,Male,304182.31836734695
No,Research & Development,Manufacturing Director,No,6725,8,1,2,Travel_Rarely,Female,565558.7755102041
Yes,Sales,Sales Executive,Yes,10325,16,4,3,Travel_Rarely,Male,868311.4285714286
No,Research & Development,Healthcare Representative,No,6949,5,4,2,Travel_Rarely,Female,584396.7183673469
Yes,Sales,Sales Executive,No,10609,14,3,3,Travel_Rarely,Male,892195.2489795919
No,Research & Development,Laboratory Technician,No,4447,9,2,2,Non-Travel,Male,373983.62448979594
No,Sales,Sales Representative,No,2157,3,4,1,Travel_Frequently,Female,181399.29795918366
No,Sales,Sales Executive,No,4601,5,3,2,Travel_Rarely,Female,386934.7102040816
No,Research & Development,Manager,No,17099,9,4,4,Travel_Rarely,Male,1437991.0040816327
Yes,Research & Development,Research Scientist,No,2479,1,3,1,Travel_Rarely,Male,208478.84081632653
No,Sales,Manager,No,14852,17,3,4,Travel_Rarely,Male,1249022.8897959185
No,Sales,Sales Executive,No,7264,8,3,3,Travel_Rarely,Male,610887.5755102041
No,Sales,Sales Executive,Yes,5666,5,4,2,Non-Travel,Female,476499.03673469386
No,Sales,Sales Executive,No,7823,10,4,3,Travel_Rarely,Male,657898.3346938776
No,Sales,Sales Executive,No,7880,8,3,3,Travel_Rarely,Male,662691.918367347
Yes,Sales,Sales Executive,Yes,13194,1,2,4,Non-Travel,Female,1109588.4734693877
No,Research & Development,Manufacturing Director,Yes,5067,19,3,2,Travel_Frequently,Male,426124.35918367346
No,Sales,Sales Executive,No,5079,7,4,2,Non-Travel,Male,427133.53469387756
Yes,Research & Development,Research Scientist,Yes,2321,3,1,1,Non-Travel,Male,195191.36326530614
No,Sales,Manager,No,17444,10,3,4,Non-Travel,Male,1467004.8
Yes,Research & Development,Research Scientist,Yes,2404,0,1,1,Travel_Rarely,Female,202171.49387755102
No,Research & Development,Research Scientist,No,3452,3,4,1,Travel_Rarely,Female,290306.1551020408
No,Research & Development,Laboratory Technician,No,2270,5,4,1,Travel_Rarely,Female,190902.3673469388
No,Research & Development,Research Director,No,17399,5,4,4,Travel_Rarely,Male,1463220.3918367347
No,Research & Development,Healthcare Representative,Yes,5488,6,2,2,Travel_Frequently,Female,461529.60000000003
No,Research & Development,Research Director,No,19419,18,3,5,Travel_Frequently,Male,1633098.269387755
No,Research & Development,Laboratory Technician,No,2811,2,2,1,Travel_Rarely,Female,236399.36326530614
No,Research & Development,Laboratory Technician,Yes,3633,9,1,2,Non-Travel,Male,305527.8857142857
No,Sales,Sales Executive,Yes,4163,9,4,2,Travel_Rarely,Female,350099.80408163264
Yes,Research & Development,Research Scientist,Yes,2132,5,3,1,Travel_Rarely,Female,179296.84897959183
No,Research & Development,Manufacturing Director,Yes,13973,12,3,4,Travel_Rarely,Male,1175100.7836734694
No,Research & Development,Research Scientist,No,2684,2,3,1,Travel_Frequently,Male,225718.9224489796
No,Research & Development,Manufacturing Director,No,10845,8,3,3,Travel_Rarely,Male,912042.3673469388
No,Research & Development,Manufacturing Director,No,4377,4,3,2,Travel_Rarely,Female,368096.7673469388
Yes,Research & Development,Laboratory Technician,Yes,3743,4,2,1,Travel_Rarely,Male,314778.6612244898
No,Research & Development,Manufacturing Director,No,4148,4,1,2,Travel_Frequently,Female,348838.33469387755
No,Research & Development,Research Scientist,No,1051,0,4,1,Non-Travel,Male,88386.95510204081
No,Research & Development,Manufacturing Director,No,10739,10,3,3,Travel_Rarely,Female,903127.9836734694
No,Research & Development,Healthcare Representative,Yes,10388,16,3,3,Travel_Rarely,Female,873609.6
No,Research & Development,Research Director,Yes,11416,8,1,3,Travel_Rarely,Female,960062.3020408163
Yes,Research & Development,Research Scientist,Yes,2600,1,1,1,Travel_Rarely,Female,218654.69387755104
Yes,Research & Development,Laboratory Technician,No,2422,3,2,1,Travel_Frequently,Female,203685.25714285715
No,Research & Development,Manufacturing Director,No,5472,8,4,2,Travel_Rarely,Male,460184.0326530612
No,Research & Development,Laboratory Technician,No,2451,4,1,1,Travel_Rarely,Male,206124.09795918368
No,Research & Development,Healthcare Representative,No,4240,2,3,2,Travel_Rarely,Male,356575.3469387755
No,Research & Development,Healthcare Representative,No,10999,15,3,3,Travel_Rarely,Male,924993.4530612245
No,Research & Development,Manufacturing Director,No,5003,2,3,2,Travel_Rarely,Female,420742.0897959184
No,Research & Development,Manufacturing Director,No,12742,21,4,4,Travel_Rarely,Female,1071576.1959183675
No,Research & Development,Manufacturing Director,No,4227,3,4,2,Travel_Rarely,Female,355482.0734693878
No,Research & Development,Laboratory Technician,No,3917,3,4,1,Travel_Rarely,Male,329411.70612244896
No,Sales,Manager,No,18303,1,3,5,Travel_Rarely,Male,1539244.9469387755
No,Research & Development,Laboratory Technician,No,2380,1,4,1,Travel_Rarely,Male,200153.14285714287
No,Research & Development,Manufacturing Director,Yes,13726,5,4,4,Travel_Rarely,Female,1154328.587755102
Yes,Research & Development,Healthcare Representative,No,4777,1,2,2,Travel_Rarely,Female,401735.9510204082
No,Research & Development,Healthcare Representative,Yes,6385,8,2,2,Travel_Frequently,Male,536965.4693877551
No,Research & Development,Research Director,No,19973,21,3,5,Non-Travel,Female,1679688.5387755102
No,Sales,Sales Executive,Yes,6861,1,4,2,Travel_Rarely,Male,576996.0979591837
Yes,Sales,Sales Executive,No,4969,2,1,2,Non-Travel,Male,417882.7591836735
Yes,Sales,Manager,No,19845,32,4,5,Travel_Rarely,Female,1668924.0
No,Sales,Sales Executive,Yes,13320,12,4,4,Travel_Rarely,Female,1120184.8163265307
No,Sales,Sales Executive,No,6347,18,3,2,Non-Travel,Female,533769.7469387755
Yes,Research & Development,Laboratory Technician,No,2743,17,1,1,Travel_Rarely,Female,230680.70204081634
No,Research & Development,Manufacturing Director,Yes,10880,21,1,3,Travel_Frequently,Female,914985.7959183673
No,Sales,Sales Representative,No,2342,2,4,1,Non-Travel,Female,196957.42040816328
No,Sales,Manager,No,17650,9,4,4,Travel_Rarely,Female,1484328.9795918367
No,Research & Development,Laboratory Technician,No,4025,8,3,1,Non-Travel,Female,338494.28571428574
No,Sales,Sales Executive,No,9725,15,4,2,Travel_Rarely,Male,817852.6530612245
No,Sales,Manager,Yes,11904,6,4,3,Travel_Rarely,Male,1001102.106122449
No,Human Resources,Human Resources,No,2177,6,2,1,Travel_Rarely,Male,183081.25714285715
No,Sales,Sales Executive,No,7525,15,2,3,Travel_Frequently,Female,632837.1428571428
Yes,Research & Development,Laboratory Technician,No,4834,1,3,2,Travel_Rarely,Male,406529.53469387756
Yes,Research & Development,Research Scientist,Yes,2042,3,1,1,Travel_Frequently,Male,171728.03265306124
No,Sales,Sales Representative,Yes,2220,1,3,1,Travel_Rarely,Female,186697.46938775512
No,Sales,Sales Representative,No,1052,1,2,1,Travel_Rarely,Male,88471.05306122449
No,Research & Development,Research Scientist,No,2821,2,3,1,Travel_Frequently,Male,237240.34285714285
No,Research & Development,Research Director,Yes,19237,8,3,5,Travel_Rarely,Male,1617792.4408163265
No,Research & Development,Healthcare Representative,No,4107,4,2,2,Travel_Rarely,Female,345390.31836734695
No,Sales,Sales Executive,No,8396,7,1,2,Travel_Rarely,Male,706086.4653061224
No,Research & Development,Research Scientist,No,2007,5,3,1,Travel_Frequently,Female,168784.60408163266
No,Research & Development,Research Director,No,19627,2,4,5,Travel_Rarely,Male,1650590.6448979592
No,Sales,Sales Executive,No,10686,9,3,3,Travel_Rarely,Female,898670.7918367347
No,Research & Development,Research Scientist,No,2942,5,3,1,Travel_Frequently,Female,247416.19591836736
No,Research & Development,Manufacturing Director,No,8858,14,4,3,Travel_Rarely,Female,744939.7224489796
No,Research & Development,Manager,No,16756,9,1,4,Non-Travel,Male,1409145.4040816326
No,Sales,Sales Executive,No,10798,1,4,3,Travel_Rarely,Male,908089.7632653061
Yes,Sales,Sales Representative,Yes,2323,2,4,1,Travel_Frequently,Female,195359.55918367347
Yes,Research & Development,Laboratory Technician,No,1416,1,1,1,Travel_Rarely,Female,119082.71020408164
No,Research & Development,Research Scientist,Yes,4615,16,1,2,Travel_Rarely,Female,388112.0816326531
Yes,Research & Development,Research Scientist,Yes,2461,10,3,1,Travel_Rarely,Male,206965.0775510204
Yes,Research & Development,Healthcare Representative,No,8722,10,1,3,Non-Travel,Male,733502.4
No,Research & Development,Laboratory Technician,No,3955,5,1,1,Travel_Rarely,Male,332607.4285714286
No,Research & Development,Manufacturing Director,No,9957,6,1,2,Travel_Rarely,Male,837363.3795918367
No,Research & Development,Research Scientist,No,3376,10,3,1,Travel_Rarely,Female,283914.7102040816
No,Research & Development,Healthcare Representative,No,8823,19,3,3,Travel_Rarely,Female,741996.293877551
No,Research & Development,Healthcare Representative,No,10322,11,4,3,Travel_Rarely,Male,868059.1346938775
No,Research & Development,Laboratory Technician,No,4621,3,3,1,Non-Travel,Male,388616.6693877551
No,Research & Development,Manufacturing Director,No,10976,3,2,3,Travel_Frequently,Male,923059.2000000001
No,Research & Development,Research Scientist,No,3660,8,3,2,Travel_Rarely,Female,307798.5306122449
Yes,Human Resources,Human Resources,No,10482,20,1,3,Travel_Rarely,Male,881514.8081632653
No,Research & Development,Healthcare Representative,No,7119,3,4,3,Travel_Rarely,Male,598693.3714285714
Yes,Sales,Sales Executive,Yes,9582,8,1,3,Travel_Rarely,Male,805826.6448979592
Yes,Research & Development,Research Scientist,No,4508,13,3,2,Travel_Frequently,Female,379113.6
No,Research & Development,Laboratory Technician,No,2207,4,3,1,Travel_Rarely,Male,185604.19591836736
No,Research & Development,Healthcare Representative,No,7756,6,4,2,Travel_Frequently,Male,652263.7714285714
No,Sales,Sales Executive,Yes,6694,1,4,2,Travel_Rarely,Female,562951.7387755102
Yes,Research & Development,Laboratory Technician,Yes,3691,7,4,1,Travel_Rarely,Male,310405.56734693877
Yes,Research & Development,Laboratory Technician,No,2377,1,3,1,Travel_Rarely,Male,199900.84897959183
Yes,Research & Development,Research Scientist,Yes,2313,2,2,1,Travel_Rarely,Male,194518.57959183675
No,Research & Development,Manager,No,17665,22,1,4,Travel_Rarely,Male,1485590.448979592
Yes,Research & Development,Laboratory Technician,No,2596,1,2,1,Travel_Frequently,Male,218318.30204081634
Yes,Sales,Sales Executive,Yes,4728,0,3,2,Travel_Frequently,Male,397615.15102040814
No,Sales,Sales Executive,No,4302,3,2,2,Travel_Frequently,Female,361789.4204081633
No,Research & Development,Research Scientist,No,2979,0,4,1,Non-Travel,Male,250527.82040816327
No,Research & Development,Manager,No,16885,5,4,4,Non-Travel,Male,1419994.0408163266
No,Sales,Sales Executive,No,5593,15,3,2,Non-Travel,Female,470359.8857142857
No,Research & Development,Healthcare Representative,No,10445,8,2,3,Travel_Rarely,Male,878403.1836734693
No,Sales,Sales Executive,Yes,8740,8,3,3,Travel_Rarely,Male,735016.1632653062
No,Research & Development,Research Scientist,No,2514,7,4,1,Travel_Rarely,Female,211422.2693877551
No,Research & Development,Manufacturing Director,No,7655,9,2,3,Travel_Rarely,Female,643769.8775510205
No,Sales,Manager,No,17465,12,3,4,Travel_Rarely,Male,1468770.8571428573
No,Sales,Sales Executive,No,7351,1,2,3,Travel_Rarely,Male,618204.0979591837
No,Research & Development,Manufacturing Director,No,10820,8,1,3,Travel_Frequently,Female,909939.918367347
Yes,Research & Development,Healthcare Representative,No,12169,18,4,4,Travel_Frequently,Male,1023388.0653061224
No,Research & Development,Research Director,No,19626,20,3,5,Travel_Rarely,Male,1650506.5469387756
No,Research & Development,Research Scientist,Yes,2070,2,2,1,Travel_Rarely,Female,174082.77551020408
No,Research & Development,Laboratory Technician,No,6782,5,2,2,Non-Travel,Male,570352.3591836735
No,Research & Development,Manufacturing Director,No,7779,11,4,2,Non-Travel,Male,654198.0244897959
No,Sales,Sales Representative,No,2791,2,4,1,Travel_Frequently,Male,234717.40408163265
No,Research & Development,Research Scientist,No,3201,5,2,1,Travel_Rarely,Male,269197.56734693877
No,Sales,Sales Executive,No,4968,5,4,2,Travel_Frequently,Male,417798.6612244898
No,Sales,Sales Executive,No,13120,9,2,4,Travel_Rarely,Male,1103365.224489796
No,Research & Development,Manufacturing Director,No,4033,3,3,2,Travel_Frequently,Male,339167.0693877551
No,Research & Development,Research Scientist,No,3291,7,2,1,Travel_Frequently,Female,276766.3836734694
No,Research & Development,Laboratory Technician,No,4272,1,4,2,Travel_Rarely,Male,359266.48163265304
No,Research & Development,Manufacturing Director,Yes,5056,10,4,2,Travel_Rarely,Male,425199.2816326531
No,Human Resources,Human Resources,No,2844,7,3,1,Travel_Rarely,Male,239174.59591836735
No,Research & Development,Research Scientist,Yes,2703,3,3,1,Travel_Frequently,Male,227316.78367346938
Yes,Research & Development,Laboratory Technician,No,1904,0,3,1,Non-Travel,Male,160122.51428571428
Yes,Sales,Sales Executive,Yes,8224,5,1,2,Travel_Rarely,Female,691621.6163265306
No,Research & Development,Laboratory Technician,Yes,4766,1,4,1,Travel_Rarely,Male,400810.87346938776
Yes,Research & Development,Laboratory Technician,No,2610,2,3,1,Travel_Frequently,Male,219495.67346938775
No,Research & Development,Healthcare Representative,No,5731,6,4,2,Travel_Rarely,Female,481965.4040816327
No,Research & Development,Research Scientist,No,2539,4,3,1,Travel_Rarely,Male,213524.71836734694
No,Sales,Sales Executive,No,5714,6,3,2,Travel_Rarely,Female,480535.7387755102
No,Human Resources,Human Resources,No,4323,5,3,1,Travel_Rarely,Male,363555.4775510204
Yes,Sales,Sales Executive,No,7336,11,1,3,Travel_Rarely,Female,616942.6285714286
No,Research & Development,Research Director,No,13499,18,3,3,Travel_Frequently,Female,1135238.351020408
Yes,Sales,Sales Executive,Yes,13758,21,1,4,Travel_Frequently,Male,1157019.7224489795
No,Sales,Sales Executive,No,5155,6,1,2,Travel_Rarely,Male,433524.97959183675
No,Research & Development,Laboratory Technician,No,2258,8,3,1,Travel_Rarely,Male,189893.1918367347
No,Research & Development,Laboratory Technician,No,3597,4,2,1,Travel_Rarely,Male,302500.35918367346
Yes,Research & Development,Laboratory Technician,Yes,2515,1,4,1,Travel_Rarely,Female,211506.3673469388
No,Research & Development,Laboratory Technician,No,4420,8,4,1,Travel_Rarely,Male,371712.97959183675
No,Sales,Sales Executive,No,6578,10,3,2,Travel_Rarely,Male,553196.3755102041
No,Research & Development,Research Scientist,Yes,4422,1,4,2,Travel_Frequently,Female,371881.1755102041
No,Research & Development,Manufacturing Director,No,10274,7,2,3,Travel_Rarely,Male,864022.4326530612
No,Research & Development,Healthcare Representative,No,5343,13,1,2,Travel_Frequently,Male,449335.3959183674
No,Research & Development,Laboratory Technician,No,2376,2,4,1,Travel_Frequently,Male,199816.75102040818
Yes,Sales,Sales Executive,No,5346,4,3,2,Travel_Rarely,Female,449587.68979591836
No,Sales,Sales Representative,No,2827,1,1,1,Non-Travel,Female,237744.9306122449
No,Research & Development,Manager,No,19943,5,1,5,Travel_Rarely,Female,1677165.6
No,Research & Development,Laboratory Technician,No,3131,10,4,1,Travel_Rarely,Female,263310.7102040816
No,Research & Development,Research Scientist,No,2552,1,1,1,Travel_Rarely,Male,214617.9918367347
No,Research & Development,Research Scientist,Yes,4477,3,3,1,Travel_Rarely,Female,376506.5632653061
No,Research & Development,Manufacturing Director,No,6474,14,4,2,Travel_Rarely,Female,544450.1877551021
No,Research & Development,Laboratory Technician,No,3033,2,3,1,Travel_Rarely,Male,255069.11020408163
Yes,Research & Development,Research Scientist,Yes,2936,6,3,1,Travel_Rarely,Male,246911.6081632653
No,Research & Development,Manager,No,18606,7,3,5,Travel_Rarely,Female,1564726.6285714286
No,Research & Development,Research Scientist,Yes,2168,5,4,1,Travel_Rarely,Female,182324.3755102041
Yes,Research & Development,Research Scientist,Yes,2853,0,4,1,Travel_Frequently,Male,239931.47755102042
No,Sales,Manager,No,17048,26,1,4,Travel_Rarely,Female,1433702.0081632654
No,Research & Development,Research Scientist,No,2290,0,3,1,Non-Travel,Male,192584.32653061225
No,Human Resources,Human Resources,No,3600,5,3,1,Travel_Rarely,Male,302752.6530612245
Yes,Research & Development,Research Scientist,No,2107,1,1,1,Non-Travel,Male,177194.4
No,Sales,Sales Executive,No,4115,4,1,2,Travel_Rarely,Male,346063.10204081633
No,Sales,Sales Executive,No,4327,0,2,2,Travel_Frequently,Male,363891.8693877551
No,Research & Development,Manager,No,17856,2,1,4,Travel_Frequently,Female,1501653.1591836736
No,Research & Development,Laboratory Technician,No,3196,6,1,1,Travel_Rarely,Male,268777.0775510204
No,Research & Development,Research Director,No,19081,4,2,5,Travel_Rarely,Male,1604673.1591836736
No,Sales,Sales Executive,Yes,8966,7,1,2,Travel_Rarely,Male,754022.3020408163
Yes,Research & Development,Laboratory Technician,No,2210,1,2,1,Travel_Rarely,Female,185856.48979591837
No,Sales,Sales Executive,No,4539,10,3,2,Travel_Frequently,Female,381720.6367346939
No,Research & Development,Laboratory Technician,No,2741,7,3,1,Travel_Rarely,Male,230512.50612244898
No,Research & Development,Laboratory Technician,No,3491,10,3,2,Travel_Rarely,Male,293585.9755102041
No,Research & Development,Research Scientist,No,4541,20,4,2,Travel_Rarely,Male,381888.83265306125
No,Sales,Sales Representative,No,2678,2,4,1,Travel_Rarely,Male,225214.33469387755
No,Research & Development,Manufacturing Director,No,7379,6,4,2,Travel_Rarely,Male,620558.8408163266
No,Human Resources,Human Resources,No,6272,4,1,2,Non-Travel,Male,527462.4
No,Sales,Sales Executive,Yes,5220,11,4,2,Travel_Rarely,Male,438991.3469387755
No,Research & Development,Laboratory Technician,No,2743,2,2,1,Travel_Frequently,Female,230680.70204081634
No,Research & Development,Research Scientist,Yes,4998,8,3,2,Travel_Frequently,Female,420321.60000000003
No,Research & Development,Manufacturing Director,Yes,10252,7,1,3,Travel_Rarely,Female,862172.2775510204
No,Research & Development,Research Scientist,No,2781,14,4,1,Travel_Rarely,Male,233876.42448979593
No,Sales,Sales Executive,No,6852,5,2,2,Travel_Rarely,Female,576239.2163265307
No,Sales,Sales Executive,No,4950,4,4,2,Travel_Rarely,Male,416284.89795918367
No,Research & Development,Research Scientist,Yes,3579,11,2,1,Travel_Rarely,Male,300986.5959183673
No,Research & Development,Research Director,Yes,13191,1,1,3,Travel_Frequently,Female,1109336.1795918366
No,Sales,Sales Executive,Yes,10377,13,4,3,Non-Travel,Female,872684.5224489796
No,Research & Development,Research Scientist,Yes,2235,9,1,1,Travel_Rarely,Male,187958.9387755102
No,Research & Development,Manufacturing Director,No,10502,5,3,3,Travel_Frequently,Female,883196.7673469388
No,Research & Development,Research Scientist,No,2011,10,4,1,Travel_Rarely,Female,169120.99591836735
Yes,Research & Development,Research Scientist,Yes,1859,1,2,1,Non-Travel,Female,156338.10612244898
No,Research & Development,Research Scientist,No,3760,3,4,1,Travel_Rarely,Female,316208.32653061225
No,Research & Development,Research Director,No,17779,10,4,4,Travel_Rarely,Male,1495177.6163265307
No,Research & Development,Healthcare Representative,Yes,6833,6,1,2,Travel_Rarely,Male,574641.3551020408
